datetime,value
0,0.000470287836701
1,0.010483229013093
2,0.038641340541421
3,0.057185541952319
4,0.071211104943581
5,0.079046348740217
6,0.101172964686929
7,0.123345661128465
8,0.143495781057152
9,0.175410680298295
10,0.184536901341789
11,0.193970434265235
12,0.210052098599331
13,0.232729392231694
14,0.25038030472199
15,0.26727515967765
16,0.288317621194586
17,0.299037323140442
18,0.323368677139385
19,0.330678205947129
20,0.352777311616066
21,0.372319130848928
22,0.386863187218811
23,0.406249829029608
24,0.416775606798044
25,0.434959587023732
26,0.452954366285666
27,0.457430514759828
28,0.468196772986804
29,0.489394445601308
30,0.501213032045109
31,0.512534324279309
32,0.525819575203935
33,0.536905232695665
34,0.556515408571411
35,0.570409969114569
36,0.580629570134676
37,0.58337820015631
38,0.602996463741623
39,0.604365845897848
40,0.62519483996409
41,0.627487522722145
42,0.630363019814891
43,0.636336866704296
44,0.642104619071498
45,0.649847459103545
46,0.653770827453076
47,0.675231674200188
48,0.67917946104639
49,0.678535203641921
50,0.686096063970698
51,0.686811644854483
52,0.706402423171156
53,0.691621125174248
54,0.698598684875468
55,0.702642540782221
56,0.7065405277081
57,0.703453410182887
58,0.692812635616447
59,0.69852125842502
60,0.707432484536097
61,0.704695106642791
62,0.6983239057233
63,0.701269033792062
64,0.695187548081603
65,0.698435998813435
66,0.685943188583248
67,0.692308039225056
68,0.687502476359584
69,0.68184169653313
70,0.676462544197571
71,0.672192958182315
72,0.661041849583486
73,0.657453815611248
74,0.654815577879352
75,0.649775178693784
76,0.636476315870166
77,0.626617436753919
78,0.613330650053605
79,0.601107432375619
80,0.594974670634738
81,0.59630820576749
82,0.583047878859045
83,0.566522966816474
84,0.553993367644433
85,0.542248381148316
86,0.538005329653713
87,0.518337740625098
88,0.513991950840265
89,0.497303590669008
90,0.487324054957908
91,0.46119322506891
92,0.451818997609583
93,0.432212905801279
94,0.425535065899033
95,0.407623376452179
96,0.389837973272507
97,0.383746688157371
98,0.360794821359894
99,0.348745080511195
100,0.330952972976907
101,0.30540608028932
102,0.289257240007114
103,0.275705220192308
104,0.251661428927632
105,0.243568915670581
106,0.215357002763926
107,0.213638554172145
108,0.183613103911887
109,0.177540898117817
110,0.147454044633626
111,0.125823978372543
